"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CL31C560JBCNNNC","Samsung Electro-Mechanics","1276-1266-1-ND","sd2iec-c4,c5","c4,c5","Cut Tape (CT)","Active","2","0.24000","$0.48","0","38 Weeks","CAP CER 56PF 50V C0G/NP0 1206","RoHS Compliant","Lead free","REACH Unaffected"
"ATMEGA1284P-AU","Microchip Technology","ATMEGA1284P-AU-ND","sd2iec - ic1","ic1","Tray","Active","1","8.32000","$8.32","18511","19 Weeks","IC MCU 8BIT 128KB FLASH 44TQFP","RoHS Compliant","Lead free","REACH Unaffected"
"LTL1BEKVJNN","Lite-On Inc.","160-1939-ND","sd2iec - ld1","ld1","Bag","Active","1","0.54000","$0.54","25287","14 Weeks","LED GRN/RED DIFF 3MM ROUND T/H","RoHS Compliant","Lead free","Not Available"
"ABL-8.000MHZ-B2","Abracon LLC","535-9062-ND","sd2iec - q1","q1","Bulk","Active","1","0.49000","$0.49","4083","9 Weeks","CRYSTAL 8.0000MHZ 18PF T/H","RoHS Compliant","Lead free","REACH Affected"
"RC1206FR-0718RL","Yageo","311-18.0FRCT-ND","sd2iec - r7,r9,r11","r7,r9,r11","Cut Tape (CT)","Active","3","0.15000","$0.45","1937262","23 Weeks","RES SMD 18 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-072R2L","Yageo","311-2.20FRCT-ND","sd2iec - r20","r20","Cut Tape (CT)","Active","1","0.15000","$0.15","314796","23 Weeks","RES SMD 2.2 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-0710KL","Yageo","311-10.0KFRCT-ND","sd2iec - r2,r3,r4","r2,r3,r4","Cut Tape (CT)","Active","3","0.15000","$0.45","3191003","23 Weeks","RES SMD 10K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-07330RL","Yageo","311-330FRCT-ND","sd2iec - r30,r31","r30,r31","Cut Tape (CT)","Active","2","0.15000","$0.30","161793","23 Weeks","RES SMD 330 OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RC1206FR-0722KL","Yageo","311-22.0KFRCT-ND","sd2iec - r8,r10,r12","r8,r10,r12","Cut Tape (CT)","Active","3","0.15000","$0.45","238457","23 Weeks","RES SMD 22K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"IRLML2402GTRPBF","Infineon Technologies","IRLML2402GTRPBFCT-ND","sd2iec - t2,t3,t4","t2,t3,t4","Cut Tape (CT)","Discontinued at Digi-Key","3","0.67000","$2.01","700","Not Available","MOSFET N-CH 20V 1.2A SOT-23-3","RoHS Compliant","Lead free","REACH Unaffected"
"215079-6","TE Connectivity AMP Connectors","A105004CT-ND","sd2iec - x1","x1","Cut Tape (CT)","Active","1","0.68000","$0.68","20410","10 Weeks","CONN FMALE-ON-BRD 6POS VERT T/H","RoHS Compliant","Lead free","Not Available"
"EZM06DRXH","Sullins Connector Solutions","S5064-ND","sd2iec - edge connector","edge connector","Tray","Obsolete","5","3.40000","$17.00","402","Not Available","CONN EDGE DUAL FMALE 12POS 0.156","RoHS non-compliant","Contains lead","REACH Unaffected"
"M50-3530642","Harwin Inc.","952-3602-ND","sd2iec - x4 - isp header","x4 - isp header","Box","Active","1","0.33000","$0.33","3742","10 Weeks","CONN HDR 1.27MM T/H AU 6POS","RoHS Compliant","Lead free","REACH Unaffected"
"LPPB061NFFN-RC","Sullins Connector Solutions","S9008E-06-ND","sd2iec - female isp socket","female isp socket","Tube","Active","1","1.29000","$1.29","17245","4 Weeks","CONN HEADER .050"" 6POS PCB GOLD","RoHS Compliant","Lead free","REACH Unaffected"
"2205061-3","TE Connectivity AMP Connectors","A123286-ND","sd2iec - iec and power cable","iec and power cable","Box","Active","1","3.56000","$3.56","439","9 Weeks","CABLE ASSEMBLY HEADER WTW 6POS","RoHS Compliant","Lead free","Not Available"
"RNCP0805FTD10K0","Stackpole Electronics Inc.","RNCP0805FTD10K0CT-ND","sd2iec - r15,r16,r17","r15,r16,r17","Cut Tape (CT)","Active","3","0.15000","$0.45","366525","12 Weeks","RES 10K OHM 1% 1/4W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"CC1206JRX7R9BB104","Yageo","311-1435-1-ND","sd2iec - c1","c1","Cut Tape (CT)","Active","1","0.32000","$0.32","55100","38 Weeks","CAP CER 0.1UF 50V X7R 1206","RoHS Compliant","Lead free","REACH Unaffected"
"TAJA106K010TNJ","AVX Corporation","478-11220-1-ND","sd2iec - c2,c3,c6","c2,c3,c6","Cut Tape (CT)","Active","3","0.46000","$1.38","0","24 Weeks","CAP TANT 10UF 10% 10V 1206","RoHS Compliant","Lead free","REACH Unaffected"
"1N4148W-13-F","Diodes Incorporated","1N4148W-13FDICT-ND","sd2iec - d1","d1","Cut Tape (CT)","Active","1","0.28000","$0.28","27561","Not Available","DIODE GEN PURP 100V 150MA SOD123","RoHS Compliant","Lead free","REACH Unaffected"
"LP2950-30LPR","Texas Instruments","296-31454-1-ND","sd2iec - ic3","ic3","Cut Tape (CT)","Active","1","0.70000","$0.70","3982","6 Weeks","IC REG LINEAR 3V 100MA TO92-3","RoHS Compliant","Lead free","REACH Unaffected"
"TL3305BF160QG","E-Switch","EG5351CT-ND","sd2iec - sw1,sw2,sw3","sw1,sw2,sw3","Cut Tape (CT)","Active","3","0.31000","$0.93","15034","11 Weeks","SWITCH TACTILE SPST-NO 50MA 12V","RoHS Compliant","Lead free","REACH Unaffected"
